,Caseload ID,Caseload Level,Run Number,Week Number
899,couns_3,15,0,29
900,pwp_0,35,0,30
901,pwp_1,35,0,30
902,pwp_2,20,0,30
903,pwp_3,50,0,30
904,pwp_4,31,0,30
905,pwp_5,47,0,30
906,pwp_6,49,0,30
907,pwp_7,36,0,30
908,pwp_8,23,0,30
909,pwp_9,38,0,30
910,pwp_10,28,0,30
911,pwp_11,31,0,30
912,cbt_0,22,0,30
913,cbt_1,24,0,30
914,cbt_2,24,0,30
915,cbt_3,24,0,30
916,cbt_4,24,0,30
917,cbt_5,21,0,30
918,cbt_6,25,0,30
919,cbt_7,22,0,30
920,cbt_8,22,0,30
921,cbt_9,24,0,30
922,cbt_10,24,0,30
923,cbt_11,23,0,30
924,cbt_12,24,0,30
925,cbt_13,22,0,30
926,couns_0,17,0,30
927,couns_1,15,0,30
928,couns_2,18,0,30
929,couns_3,14,0,30
930,pwp_0,36,0,31
931,pwp_1,35,0,31
932,pwp_2,18,0,31
933,pwp_3,50,0,31
934,pwp_4,34,0,31
935,pwp_5,49,0,31
936,pwp_6,48,0,31
937,pwp_7,32,0,31
938,pwp_8,24,0,31
939,pwp_9,41,0,31
940,pwp_10,27,0,31
941,pwp_11,30,0,31
942,cbt_0,22,0,31
943,cbt_1,24,0,31
944,cbt_2,24,0,31
945,cbt_3,24,0,31
946,cbt_4,24,0,31
947,cbt_5,21,0,31
948,cbt_6,25,0,31
949,cbt_7,22,0,31
950,cbt_8,22,0,31
951,cbt_9,24,0,31
952,cbt_10,24,0,31
953,cbt_11,24,0,31
954,cbt_12,24,0,31
955,cbt_13,20,0,31
956,couns_0,20,0,31
957,couns_1,15,0,31
958,couns_2,17,0,31
959,couns_3,16,0,31
960,pwp_0,36,0,32
961,pwp_1,33,0,32
962,pwp_2,17,0,32
963,pwp_3,49,0,32
964,pwp_4,36,0,32
965,pwp_5,46,0,32
966,pwp_6,46,0,32
967,pwp_7,32,0,32
968,pwp_8,22,0,32
969,pwp_9,42,0,32
970,pwp_10,26,0,32
971,pwp_11,30,0,32
972,cbt_0,22,0,32
973,cbt_1,24,0,32
974,cbt_2,24,0,32
975,cbt_3,24,0,32
976,cbt_4,24,0,32
977,cbt_5,21,0,32
978,cbt_6,25,0,32
979,cbt_7,22,0,32
980,cbt_8,22,0,32
981,cbt_9,24,0,32
982,cbt_10,24,0,32
983,cbt_11,24,0,32
984,cbt_12,24,0,32
985,cbt_13,20,0,32
986,couns_0,20,0,32
987,couns_1,16,0,32
988,couns_2,17,0,32
989,couns_3,16,0,32
990,pwp_0,36,0,33
991,pwp_1,32,0,33
992,pwp_2,16,0,33
993,pwp_3,49,0,33
994,pwp_4,38,0,33
995,pwp_5,45,0,33
996,pwp_6,49,0,33
997,pwp_7,31,0,33
