,Week Number,Referral Screen Mins,Referrals Rejected,Referrals Delay Opt-in,Referrals Opted-in,Referrals Wait Opt-in,TA Total Accept,Run
17,17,36182.43548385787,544.0,0.3601937555057292,691.0,1.4660125361151162,76.0,3
18,18,37958.89347405914,571.0,0.36411618352168823,729.0,1.4806673250206186,81.0,3
19,19,39865.545599213365,600.0,0.3636242697507746,758.0,1.4813508438029885,86.0,3
20,20,41866.51004703038,629.0,0.36575672172612267,792.0,1.491523432392772,91.0,3
21,21,44058.715335425855,667.0,0.36543168309131474,821.0,1.4804820100744815,95.0,3
22,22,45595.48887401962,687.0,0.36503491126066884,856.0,1.4868175861050965,99.0,3
23,23,47475.33186041784,714.0,0.36318323559810406,896.0,1.4884140759741442,104.0,3
24,24,49409.46872289904,744.0,0.3609208947471012,933.0,1.487232966092829,109.0,3
25,25,51294.76625301891,772.0,0.3630637465226592,969.0,1.4866041224142688,114.0,3
26,26,53300.167974296004,795.0,0.3645637069835397,1010.0,1.4856848058402947,119.0,3
27,27,55331.3177939148,829.0,0.36411939384904424,1049.0,1.4828523417311261,124.0,3
28,28,57230.54407085952,856.0,0.3606365800400743,1076.0,1.4768098931771017,128.0,3
29,29,59198.63070304914,885.0,0.36048137662555213,1106.0,1.4825057870044218,133.0,3
30,30,60991.227412052074,916.0,0.35958454870882856,1132.0,1.4761565896536082,137.0,3
31,31,62714.93569956833,943.0,0.36046439344781306,1159.0,1.4727203852455557,142.0,3
32,32,64681.97451701859,970.0,0.3614810084371138,1196.0,1.477866296261408,147.0,3
33,33,66761.25774758586,1001.0,0.3636909523901965,1243.0,1.4976341701990492,152.0,3
34,34,68801.90551024332,1033.0,0.36595805618397903,1287.0,1.4931074934810389,157.0,3
35,35,70638.0501271676,1059.0,0.36537418357118184,1321.0,1.492361973191298,162.0,3
36,36,72779.34612727654,1094.0,0.36191578463732177,1355.0,1.4834180119178257,166.0,3
37,37,74948.52743711251,1130.0,0.36157658945553994,1395.0,1.4809988921298955,171.0,3
38,38,77136.80842315238,1155.0,0.3614399202470322,1436.0,1.4765695493875404,176.0,3
39,39,79341.22297866414,1193.0,0.36144248293798814,1475.0,1.4745786983874125,180.0,3
40,40,81324.57411797138,1217.0,0.3617691915075312,1516.0,1.4783075371254382,185.0,3
41,41,83824.99588243579,1260.0,0.36329449466136393,1562.0,1.484450415958531,189.0,3
42,42,85778.14020254207,1283.0,0.3642921841591152,1604.0,1.48465215220817,193.0,3
43,43,87791.98772513706,1308.0,0.3643915868244643,1643.0,1.4858810135265124,197.0,3
44,44,90107.28118966563,1344.0,0.36608738462913515,1685.0,1.488646794863398,201.0,3
45,45,92267.3625188678,1376.0,0.36598710768739284,1728.0,1.4901969950891574,206.0,3
46,46,94486.70766942846,1411.0,0.36541669530463317,1771.0,1.4936889443334136,211.0,3
47,47,96716.12943272913,1447.0,0.36587510513946253,1815.0,1.4995766001816446,216.0,3
48,48,98707.28025550258,1486.0,0.3667714791944828,1847.0,1.5043279807831187,221.0,3
49,49,100753.72178485659,1519.0,0.36677518324012226,1883.0,1.5033557132574753,225.0,3
50,50,102763.52376121165,1549.0,0.36603762424974656,1917.0,1.5025778586432965,229.0,3
51,51,104464.33132687313,1572.0,0.3657580338042876,1949.0,1.4995423901203369,234.0,3
0,0,0.0,0.0,0.0,0.0,0.0,0.0,4
1,1,1719.2776455978264,27.0,0.4140684527304993,30.0,1.7019613168475094,5.0,4
2,2,3928.6939918170274,56.0,0.38887153633635807,76.0,1.5196848551987812,9.0,4
3,3,6549.895383682237,94.0,0.4016010301402798,129.0,1.555570922066452,14.0,4
4,4,8991.82181691405,130.0,0.39891728421538136,176.0,1.5248884933291238,19.0,4
5,5,11345.097324827522,171.0,0.3878086047251037,213.0,1.512452209874918,24.0,4
6,6,13551.061949246645,202.0,0.3888436994308992,254.0,1.4774089213228319,29.0,4
7,7,15847.753074375345,239.0,0.38507711773525116,296.0,1.4993844655508883,33.0,4
8,8,18164.009357532595,265.0,0.3872410617302658,349.0,1.5195124109819047,38.0,4
9,9,20271.564008573063,296.0,0.39280707462480535,392.0,1.5289567435233455,42.0,4
10,10,22447.43193189521,325.0,0.3899181117037588,434.0,1.508978936566165,46.0,4
11,11,24646.022628909486,362.0,0.39925354748966085,475.0,1.5067512307147848,51.0,4
12,12,27030.80356180194,398.0,0.4006541044225543,520.0,1.5287036009419965,56.0,4
13,13,28919.49279560778,427.0,0.39572602953394265,557.0,1.513177065203882,61.0,4
14,14,30726.357462133357,456.0,0.38934588817820476,579.0,1.4866998364649562,66.0,4
15,15,32295.94751732333,481.0,0.38825408629876135,606.0,1.4962756446011594,70.0,4
16,16,34290.137337062064,505.0,0.38574658794799194,642.0,1.4881322852022654,75.0,4
17,17,36306.7265135519,543.0,0.3814356904161336,665.0,1.467685755275005,80.0,4
18,18,38131.63120907744,577.0,0.38204537130200134,703.0,1.4774730746289875,85.0,4
19,19,40104.57350151359,605.0,0.3792786849222605,736.0,1.4912632231823724,90.0,4
20,20,42060.883566330034,640.0,0.38068768284235105,773.0,1.4913993674350734,95.0,4
21,21,44179.90828305081,670.0,0.38054440985377663,816.0,1.4982900678311788,100.0,4
22,22,45737.64286554954,682.0,0.38096389892571764,851.0,1.5071950664126292,104.0,4
23,23,47607.02223876179,718.0,0.38132625185887986,887.0,1.5124078659676496,109.0,4
24,24,49484.844399515714,749.0,0.38081547127487825,916.0,1.49462866886071,114.0,4
25,25,51333.51602195205,774.0,0.37910986069885944,951.0,1.4992638772740923,119.0,4
26,26,53355.8759681494,804.0,0.3777016328687265,982.0,1.5054010600396344,124.0,4
27,27,55379.195540188644,836.0,0.37988668740417536,1022.0,1.514323063776745,128.0,4
28,28,57390.171332811486,861.0,0.3803292447957457,1064.0,1.5141290637169285,133.0,4
29,29,59343.92499546545,883.0,0.3781992146013293,1102.0,1.504557663007758,137.0,4
30,30,61173.51034089232,906.0,0.37969372543385177,1140.0,1.505367897100606,141.0,4
31,31,62934.61049325818,937.0,0.3778106598207199,1172.0,1.5117031672348547,146.0,4
32,32,64890.28800068209,968.0,0.37920864944036153,1208.0,1.5152383915826861,151.0,4
33,33,66938.01143779975,994.0,0.37996914511284474,1245.0,1.5198419919098913,156.0,4
34,34,68976.83801789243,1023.0,0.3798527414066483,1283.0,1.5077975417768665,160.0,4
35,35,70800.55673454577,1055.0,0.38064817445850496,1313.0,1.5112075356248214,165.0,4
36,36,72944.13516484646,1081.0,0.380709037705471,1355.0,1.5105318340359934,169.0,4
37,37,75043.08455115324,1110.0,0.38109912234801074,1400.0,1.5156723676117274,174.0,4
38,38,77219.18172151862,1143.0,0.37836656995294304,1432.0,1.5083154399107463,179.0,4
39,39,79467.9287032212,1175.0,0.37666134471634627,1469.0,1.5022736661406124,184.0,4
40,40,81440.86764573508,1199.0,0.37504193393268154,1503.0,1.4982385374649987,189.0,4
41,41,83926.69773346453,1237.0,0.3757123120680351,1546.0,1.496837098942496,194.0,4
42,42,85925.82920107979,1261.0,0.3758929549257532,1584.0,1.5012000457784935,199.0,4
43,43,87940.91100942167,1287.0,0.3750025602037476,1617.0,1.4969939850199812,203.0,4
44,44,90243.60555010245,1324.0,0.3730085168968527,1650.0,1.4954639532728211,208.0,4
45,45,92376.71461919864,1360.0,0.3723662927253679,1687.0,1.491738945272308,212.0,4
46,46,94531.7417705484,1392.0,0.3728120047949902,1732.0,1.494903009667163,217.0,4
47,47,96723.0365548993,1425.0,0.37395095184224,1772.0,1.4974482287703084,222.0,4
48,48,98676.32942071716,1457.0,0.3740447599846811,1804.0,1.497534426399637,227.0,4
49,49,100760.18596986996,1502.0,0.37567867728062665,1839.0,1.4995891142909377,232.0,4
50,50,102793.00163209977,1533.0,0.3762646341803377,1876.0,1.4971258194450887,237.0,4
51,51,104556.60077700778,1561.0,0.37643100913464367,1912.0,1.4991915868924133,242.0,4
0,0,0.0,0.0,0.0,0.0,0.0,0.0,5
1,1,1733.7430506882856,25.0,0.41036320811963567,34.0,2.0241626677911353,5.0,5
2,2,4000.2467369206906,50.0,0.37707097378564525,80.0,1.774220731406197,10.0,5
